Time,Message
2017/03/16 18:48:56,"Working row : 1, 5, 7, 14, 308, 321, 19, 27, 32, 36, 42, 51, 419, 57, 436, 449, "
2017/03/16 18:48:57,"Download Order : 1, 0, IPI_MCA17_01_L, 8603, MS249037-1 9, IU002 WHITE"
2017/03/16 18:48:58,"Download Order : 5, 0, IPI_MCA17_01_R, 8623, MS249037-1 10T, IU002 WHITE"
2017/03/16 18:48:59,"Download Order : 7, 0, IPI_MCA17_02_L, 8633, MS249037-1 12T, IU002 WHITE"
2017/03/16 18:49:00,"Download Order : 14, 0, IPI_MCA17_02_R, 8656, MS249037-1 14, IU002 WHITE"
2017/03/16 18:49:01,"Download Order : 308, 0, IPI_MCA17_03_L, 9249, MS249037-1 10, IU002 WHITE"
2017/03/16 18:49:02,"Download Order : 321, 0, IPI_MCA17_03_R, 9267, MS249037-1 12, IU002 WHITE"
2017/03/16 18:49:03,"Download Order : 19, 0, IPI_MCA17_04_L, 8697, MS249037-1 7T, IU002 WHITE"
2017/03/16 18:49:04,"Download Order : 27, 0, IPI_MCA17_04_R, 8718, MS249037-1 10T, IU002 WHITE"
2017/03/16 18:49:05,"Download Order : 32, 1, IPI_MCA17_05_L, 8738, MS249037-1 9, IU002 WHITE"
2017/03/16 18:49:06,"Download Order : 36, 1, IPI_MCA17_05_R, 8755, MS249037-1 10T, IU002 WHITE"
2017/03/16 18:49:07,"Download Order : 42, 1, IPI_MCA17_06_L, 8772, MS249037-1 10, IU002 WHITE"
2017/03/16 18:49:08,"Download Order : 51, 1, IPI_MCA17_06_R, 8793, MS249037-1 9T, IU002 WHITE"
2017/03/16 18:49:09,"Download Order : 419, 1, IPI_MCA17_07_L, 9398, MS249037-1 11T, IU002 WHITE"
2017/03/16 18:49:10,"Download Order : 57, 1, IPI_MCA17_07_R, 8830, MS249037-1 6, IU002 WHITE"
2017/03/16 18:49:11,"Download Order : 436, 1, IPI_MCA17_08_L, 9420, MS249037-1 7, IU002 WHITE"
2017/03/16 18:49:12,"Download Order : 449, 1, IPI_MCA17_08_R, 9439, MS249037-1 8, IU002 WHITE"
2017/03/16 18:49:13,number of zero SOID : 4
2017/03/16 18:49:13,number of zero SOID : 3
2017/03/16 18:49:13,"12, Normal Act Count Row : 419, 3, 2, 9, 9, prs_qty=1, door=6"
2017/03/16 18:49:13,"Next Order : 420, SO_ID=9399, SORT_Key=2, Station=07"
2017/03/16 18:49:13,number of zero SOID : 3
2017/03/16 18:49:13,number of zero SOID : 3
2017/03/16 18:49:13,number of zero SOID : 3
2017/03/16 18:49:13,number of zero SOID : 3
2017/03/16 18:49:13,number of zero SOID : 3
2017/03/16 18:49:13,number of zero SOID : 3
2017/03/16 18:49:13,number of zero SOID : 3
2017/03/16 18:49:13,"0, Normal Act Count Row : 1, 1, 0, 9, 9, prs_qty=1, door=0"
2017/03/16 18:49:13,"Next Order : 2, SO_ID=8604, SORT_Key=8, Station=01"
2017/03/16 18:49:14,"Check order again 1! 1, 8603"
2017/03/16 18:49:14,"Check order again 1! 1, 8603"
2017/03/16 18:49:14,"Check order again 1! 1, 8603"
2017/03/16 18:49:14,"Check order again 1! 1, 8603"
2017/03/16 18:49:14,"Check order again 1! 1, 8603"
2017/03/16 18:49:14,"Check order again 1! 1, 8603"
2017/03/16 18:49:14,"Check order again 1! 1, 8603"
2017/03/16 18:49:14,"Check order again 1! 1, 8603"
2017/03/16 18:49:14,"Check order again 1! 1, 8603"
2017/03/16 18:49:15,"Check order again 1! 1, 8603"
2017/03/16 18:49:15,"Check order again 1! 1, 8603"
2017/03/16 18:49:15,"Check order again 1! 1, 8603"
2017/03/16 18:49:15,"Check order again 1! 1, 8603"
2017/03/16 18:49:15,"Check order again 1! 1, 8603"
2017/03/16 18:49:15,"Check order again 1! 1, 8603"
2017/03/16 18:49:15,"Check order again 1! 1, 8603"
2017/03/16 18:49:15,"Check order again 1! 1, 8603"
2017/03/16 18:49:15,"Check order again 1! 1, 8603"
2017/03/16 18:49:16,"Check order again 1! 1, 8603"
2017/03/16 18:49:16,"Check order again 1! 1, 8603"
2017/03/16 18:49:16,"Check order again 1! 1, 8603"
2017/03/16 18:49:16,"Check order again 1! 1, 8603"
2017/03/16 18:49:16,"Check order again 1! 1, 8603"
2017/03/16 18:49:16,"Check order again 1! 1, 8603"
2017/03/16 18:49:16,"Check order again 1! 1, 8603"
2017/03/16 18:49:16,"Check order again 1! 1, 8603"
2017/03/16 18:49:16,"Next Order : 2, SO_ID=8604, SORT_Key=8, Station=01"
2017/03/16 18:49:16,"Next Order : 6, SO_ID=8625, SORT_Key=10, Station=01"
2017/03/16 18:49:16,"Next Order : 15, SO_ID=8658, SORT_Key=2, Station=02"
2017/03/16 18:49:16,"Next Order : 315, SO_ID=9260, SORT_Key=8, Station=03"
2017/03/16 18:49:16,"Next Order : 322, SO_ID=9268, SORT_Key=2, Station=03"
2017/03/16 18:49:16,"Next Order : 33, SO_ID=8741, SORT_Key=5, Station=05"
2017/03/16 18:49:16,"Next Order : 37, SO_ID=8761, SORT_Key=6, Station=05"
2017/03/16 18:49:16,"Next Order : 43, SO_ID=8773, SORT_Key=2, Station=06"
2017/03/16 18:49:16,"Next Order : 52, SO_ID=8795, SORT_Key=4, Station=06"
2017/03/16 18:49:16,"Check order again 1! 419, 9398"
2017/03/16 18:49:17,"Next Order : 2, SO_ID=8604, SORT_Key=8, Station=01"
2017/03/16 18:49:17,"Next Order : 6, SO_ID=8625, SORT_Key=10, Station=01"
2017/03/16 18:49:17,"Next Order : 15, SO_ID=8658, SORT_Key=2, Station=02"
2017/03/16 18:49:17,"Next Order : 315, SO_ID=9260, SORT_Key=8, Station=03"
2017/03/16 18:49:17,"Next Order : 322, SO_ID=9268, SORT_Key=2, Station=03"
2017/03/16 18:49:17,"Next Order : 33, SO_ID=8741, SORT_Key=5, Station=05"
2017/03/16 18:49:17,"Next Order : 37, SO_ID=8761, SORT_Key=6, Station=05"
2017/03/16 18:49:17,"Next Order : 43, SO_ID=8773, SORT_Key=2, Station=06"
2017/03/16 18:49:17,"Next Order : 52, SO_ID=8795, SORT_Key=4, Station=06"
2017/03/16 18:49:17,"Check order again 1! 419, 9398"
2017/03/16 18:49:17,"Next Order : 2, SO_ID=8604, SORT_Key=8, Station=01"
2017/03/16 18:49:17,"Next Order : 6, SO_ID=8625, SORT_Key=10, Station=01"
2017/03/16 18:49:17,"Next Order : 15, SO_ID=8658, SORT_Key=2, Station=02"
2017/03/16 18:49:17,"Next Order : 315, SO_ID=9260, SORT_Key=8, Station=03"
2017/03/16 18:49:17,"Next Order : 322, SO_ID=9268, SORT_Key=2, Station=03"
2017/03/16 18:49:17,"Next Order : 33, SO_ID=8741, SORT_Key=5, Station=05"
2017/03/16 18:49:17,"Next Order : 37, SO_ID=8761, SORT_Key=6, Station=05"
2017/03/16 18:49:17,"Next Order : 43, SO_ID=8773, SORT_Key=2, Station=06"
2017/03/16 18:49:17,"Next Order : 52, SO_ID=8795, SORT_Key=4, Station=06"
2017/03/16 18:49:17,"Check order again 1! 419, 9398"
2017/03/16 18:49:17,"Next Order : 2, SO_ID=8604, SORT_Key=8, Station=01"
2017/03/16 18:49:17,"Next Order : 6, SO_ID=8625, SORT_Key=10, Station=01"
2017/03/16 18:49:17,"Next Order : 15, SO_ID=8658, SORT_Key=2, Station=02"
2017/03/16 18:49:17,"Next Order : 315, SO_ID=9260, SORT_Key=8, Station=03"
2017/03/16 18:49:17,"Next Order : 322, SO_ID=9268, SORT_Key=2, Station=03"
2017/03/16 18:49:17,"Next Order : 33, SO_ID=8741, SORT_Key=5, Station=05"
2017/03/16 18:49:17,"Next Order : 37, SO_ID=8761, SORT_Key=6, Station=05"
2017/03/16 18:49:17,"Next Order : 43, SO_ID=8773, SORT_Key=2, Station=06"
2017/03/16 18:49:17,"Next Order : 52, SO_ID=8795, SORT_Key=4, Station=06"
2017/03/16 18:49:17,"Check order again 1! 419, 9398"
2017/03/16 18:49:17,"Next Order : 2, SO_ID=8604, SORT_Key=8, Station=01"
2017/03/16 18:49:17,"Next Order : 6, SO_ID=8625, SORT_Key=10, Station=01"
2017/03/16 18:49:17,"Next Order : 15, SO_ID=8658, SORT_Key=2, Station=02"
2017/03/16 18:49:17,"Next Order : 315, SO_ID=9260, SORT_Key=8, Station=03"
2017/03/16 18:49:17,"Next Order : 322, SO_ID=9268, SORT_Key=2, Station=03"
2017/03/16 18:49:17,"Next Order : 33, SO_ID=8741, SORT_Key=5, Station=05"
2017/03/16 18:49:17,"Next Order : 37, SO_ID=8761, SORT_Key=6, Station=05"
2017/03/16 18:49:17,"Next Order : 43, SO_ID=8773, SORT_Key=2, Station=06"
2017/03/16 18:49:17,"Next Order : 52, SO_ID=8795, SORT_Key=4, Station=06"
2017/03/16 18:49:17,"Check order again 1! 419, 9398"
2017/03/16 18:49:17,"Next Order : 2, SO_ID=8604, SORT_Key=8, Station=01"
2017/03/16 18:49:17,"Next Order : 6, SO_ID=8625, SORT_Key=10, Station=01"
