Time,Message
2017/03/07 19:41:59,number of zero SOID : 8
2017/03/07 19:42:00,number of zero SOID : 8
2017/03/07 19:42:00,number of zero SOID : 8
2017/03/07 19:42:00,number of zero SOID : 8
2017/03/07 19:42:00,number of zero SOID : 8
2017/03/07 19:42:00,number of zero SOID : 8
2017/03/07 19:42:00,number of zero SOID : 8
2017/03/07 19:42:00,number of zero SOID : 8
2017/03/07 19:42:01,number of zero SOID : 8
2017/03/07 19:42:01,number of zero SOID : 8
2017/03/07 19:42:01,number of zero SOID : 8
2017/03/07 19:42:01,number of zero SOID : 8
2017/03/07 19:42:01,number of zero SOID : 8
2017/03/07 19:42:01,number of zero SOID : 8
2017/03/07 19:42:01,number of zero SOID : 8
2017/03/07 19:42:01,number of zero SOID : 8
2017/03/07 19:42:01,number of zero SOID : 8
2017/03/07 19:42:02,number of zero SOID : 8
2017/03/07 19:42:02,number of zero SOID : 8
2017/03/07 19:42:03,number of zero SOID : 8
2017/03/07 19:42:03,number of zero SOID : 8
2017/03/07 19:42:03,number of zero SOID : 8
2017/03/07 19:42:04,number of zero SOID : 8
2017/03/07 19:42:04,number of zero SOID : 8
2017/03/07 19:42:04,number of zero SOID : 8
2017/03/07 19:42:04,number of zero SOID : 8
2017/03/07 19:42:04,number of zero SOID : 8
2017/03/07 19:42:04,number of zero SOID : 8
2017/03/07 19:42:05,number of zero SOID : 8
2017/03/07 19:42:05,number of zero SOID : 8
2017/03/07 19:42:06,number of zero SOID : 8
2017/03/07 19:42:06,number of zero SOID : 8
2017/03/07 19:42:06,number of zero SOID : 8
2017/03/07 19:42:06,number of zero SOID : 8
2017/03/07 19:42:06,number of zero SOID : 8
2017/03/07 19:42:06,number of zero SOID : 8
2017/03/07 19:42:07,number of zero SOID : 8
2017/03/07 19:42:07,number of zero SOID : 8
2017/03/07 19:42:07,number of zero SOID : 8
2017/03/07 19:42:07,number of zero SOID : 8
