Time,Message
2017/03/17 17:36:24,"completed work : Grid row(0), 9,6, 9, 6"
2017/03/17 17:36:24,"completed work : Grid row(2), 9,1, 9, 1"
2017/03/17 17:36:24,"completed work : Grid row(278), 9,0, 9, 0"
2017/03/17 17:36:24,"completed work : Grid row(299), 9,0, 9, 0"
2017/03/17 17:36:24,"completed work : Grid row(300), 9,0, 9, 0"
2017/03/17 17:36:24,"completed work : Grid row(314), 1,0, 1, 0"
2017/03/17 17:36:24,"completed work : Grid row(315), 4,0, 4, 0"
2017/03/17 17:36:24,"completed work : Grid row(316), 8,0, 8, 0"
2017/03/17 17:36:24,"completed work : Grid row(317), 1,0, 1, 0"
2017/03/17 17:36:24,"completed work : Grid row(318), 9,0, 9, 0"
2017/03/17 17:36:24,"completed work : Grid row(322), 3,0, 3, 0"
2017/03/17 17:36:24,"completed work : Grid row(323), 8,0, 8, 0"
2017/03/17 17:36:24,"completed work : Grid row(349), 9,0, 9, 0"
2017/03/17 17:36:24,"completed work : Grid row(379), 9,0, 9, 0"
2017/03/17 17:36:24,"completed work : Grid row(380), 9,0, 9, 0"
2017/03/17 17:36:24,"completed work : Grid row(393), 9,0, 9, 0"
2017/03/17 17:36:24,"completed work : Grid row(407), 9,0, 9, 0"
2017/03/17 17:36:24,"completed work : Grid row(422), 9,0, 9, 0"
2017/03/17 17:36:24,"completed work : Grid row(434), 9,0, 9, 0"
2017/03/17 17:36:24,"completed work : Grid row(449), 9,0, 9, 0"
2017/03/17 17:36:24,"completed work : Grid row(451), 3,0, 3, 0"
2017/03/17 17:36:24,"completed work : Grid row(454), 9,0, 9, 0"
2017/03/17 17:36:24,"completed work : Grid row(466), 9,0, 9, 0"
2017/03/17 17:36:24,"not found soid : 0, 0"
2017/03/17 17:36:24,"SO_ID not found : 0, 0"
2017/03/17 17:36:24,"Check order again 1! 299, 9219"
2017/03/17 17:36:25,"not found soid : 0, 0"
2017/03/17 17:36:25,"SO_ID not found : 0, 0"
2017/03/17 17:36:25,"Check order again 1! 299, 9219"
2017/03/17 17:36:25,"not found soid : 0, 0"
2017/03/17 17:36:25,"SO_ID not found : 0, 0"
2017/03/17 17:36:25,"Check order again 1! 299, 9219"
2017/03/17 17:36:25,"not found soid : 0, 0"
2017/03/17 17:36:25,"SO_ID not found : 0, 0"
2017/03/17 17:36:25,"Check order again 1! 299, 9219"
2017/03/17 17:36:25,"not found soid : 0, 0"
2017/03/17 17:36:25,"SO_ID not found : 0, 0"
2017/03/17 17:36:25,"Check order again 1! 299, 9219"
2017/03/17 17:36:25,"not found soid : 0, 0"
2017/03/17 17:36:25,"SO_ID not found : 0, 0"
2017/03/17 17:36:25,"Check order again 1! 299, 9219"
2017/03/17 17:36:25,"not found soid : 0, 0"
2017/03/17 17:36:25,"SO_ID not found : 0, 0"
2017/03/17 17:36:25,"Check order again 1! 299, 9219"
2017/03/17 17:36:25,"not found soid : 0, 0"
2017/03/17 17:36:25,"SO_ID not found : 0, 0"
2017/03/17 17:36:25,"Check order again 1! 299, 9219"
2017/03/17 17:36:25,"not found soid : 0, 0"
2017/03/17 17:36:25,"SO_ID not found : 0, 0"
2017/03/17 17:36:25,"Check order again 1! 299, 9219"
2017/03/17 17:36:25,"not found soid : 0, 0"
2017/03/17 17:36:25,"SO_ID not found : 0, 0"
2017/03/17 17:36:25,"Check order again 1! 299, 9219"
2017/03/17 17:36:26,"not found soid : 0, 0"
2017/03/17 17:36:26,"SO_ID not found : 0, 0"
2017/03/17 17:36:26,"Check order again 1! 299, 9219"
2017/03/17 17:36:26,"not found soid : 0, 0"
2017/03/17 17:36:26,"SO_ID not found : 0, 0"
2017/03/17 17:36:26,"Check order again 1! 299, 9219"
2017/03/17 17:36:26,"not found soid : 0, 0"
2017/03/17 17:36:26,"SO_ID not found : 0, 0"
2017/03/17 17:36:26,"Check order again 1! 299, 9219"
2017/03/17 17:36:26,"not found soid : 0, 0"
2017/03/17 17:36:26,"SO_ID not found : 0, 0"
2017/03/17 17:36:26,"Check order again 1! 299, 9219"
2017/03/17 17:36:26,"not found soid : 0, 0"
2017/03/17 17:36:26,"SO_ID not found : 0, 0"
2017/03/17 17:36:26,"Check order again 1! 299, 9219"
2017/03/17 17:36:26,"not found soid : 0, 0"
2017/03/17 17:36:26,"SO_ID not found : 0, 0"
2017/03/17 17:36:26,"Check order again 1! 299, 9219"
2017/03/17 17:36:26,"not found soid : 0, 0"
